version	upstream_sha	upstream_file	cpp_type	cpp_field	declaration_line	configuration	rust_owner	rust_field	construction_and_publication	mutation_thread	submission_and_completion	destruction_order	null_and_failure	safe_rust_adaptation	status	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_gpu	75	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.device	Retained by RenderTargetMetal::new before any attachment allocation and published only with a complete target owner.	Renderer recording thread; immutable after construction.	Every attachment and atomic buffer transitively retains its Metal device; target leases retain the owner through encoding.	Rust releases the retained device in struct field order after the owner becomes unreachable; child Metal objects carry independent native retains.	Device construction is non-null; allocation failure returns a typed RendererError before publication.	Retained protocol object replaces Objective-C const id and makes the retain explicit.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_pixelFormat	76	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.pixel_format	Copied into the target beside the device before attachments are allocated.	Renderer recording thread; immutable after construction.	Copied into render-pass and pipeline validation; no completion transfer.	Plain value drops with the target.	Unsupported or incompatible formats fail validation before target publication.	Typed MTLPixelFormat preserves the source enum without a raw integer.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_targetTexture	78	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.target_texture	Starts absent; set_target_texture validates and retains a compatible external texture before replacement.	Renderer recording thread before encoding.	Frame/render-pass ownership retains the concrete target through command completion.	Replacing or dropping the Option releases the previous retain after the new value is valid.	nil is allowed for a headless-unbound target; incompatibility returns false rather than asserting.	Option Retained models nullable ARC ownership and fail-closed compatibility.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_coverageMemorylessTexture	80	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.coverage_memoryless_texture	Allocated during target construction only when raster-order attachment policy requires it; published transactionally with the target.	Renderer recording thread; immutable within one target generation.	Retained by the target and referenced by render-pass descriptors through completion.	Option releases the texture with the target; resized targets replace the complete generation.	Absent when raster ordering is unsupported; allocation failure aborts target construction.	Option Retained replaces nullable id and prevents partial target publication.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_clipMemorylessTexture	81	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.clip_memoryless_texture	Allocated during target construction only when raster-order attachment policy requires it; published transactionally with the target.	Renderer recording thread; immutable within one target generation.	Retained by the target and referenced by render-pass descriptors through completion.	Option releases the texture with the target; resized targets replace the complete generation.	Absent when raster ordering is unsupported; allocation failure aborts target construction.	Option Retained replaces nullable id and prevents partial target publication.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_scratchColorMemorylessTexture	82	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.scratch_color_memoryless_texture	Allocated during target construction only when raster-order attachment policy requires it; published transactionally with the target.	Renderer recording thread; immutable within one target generation.	Retained by the target and referenced by render-pass descriptors through completion.	Option releases the texture with the target; resized targets replace the complete generation.	Absent when raster ordering is unsupported; allocation failure aborts target construction.	Option Retained replaces nullable id and prevents partial target publication.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_colorAtomicBuffer	84	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.color_atomic_buffer	Starts absent and is staged with every other requested missing plane before atomic publication.	Renderer recording thread under exclusive target access.	A retained plane lease and encoded command buffer keep the selected buffer alive through completion.	Replacement is not performed within a target generation; Option releases on target drop.	Absent until non-fixed-function atomic color is required; allocation failure publishes no staged planes.	Transactional multi-plane publication strengthens the source's individual lazy getters without changing successful ownership.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_coverageAtomicBuffer	85	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.coverage_atomic_buffer	Starts absent and is staged with every other requested missing plane before atomic publication.	Renderer recording thread under exclusive target access.	A retained plane lease and encoded command buffer keep the selected buffer alive through completion.	Replacement is not performed within a target generation; Option releases on target drop.	Absent until atomic coverage is required; allocation failure publishes no staged planes.	Transactional multi-plane publication strengthens the source's individual lazy getters without changing successful ownership.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	m_clipAtomicBuffer	86	all	crates/nuxie-renderer/src/native_metal/render_target.rs	RenderTargetMetal.clip_atomic_buffer	Starts absent and is staged with every other requested missing plane before atomic publication.	Renderer recording thread under exclusive target access.	A retained plane lease and encoded command buffer keep the selected buffer alive through completion.	Replacement is not performed within a target generation; Option releases on target drop.	Absent until atomic clipping is required; allocation failure publishes no staged planes.	Transactional multi-plane publication strengthens the source's individual lazy getters without changing successful ownership.	prepared	rust:crates/nuxie-renderer/src/native_metal/render_target.rs:108-125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl::ContextOptions	shaderCompilationMode	98	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	NativeMetalContextOptions.shader_compilation_mode	Copied at context construction and retained inside CompatibleDrawPipelineCache.options.	Renderer recording thread; immutable after context construction.	Controls scheduling and waiting only; no resource transfer.	Copy value drops with the cache after pending compiler work is joined.	Invalid combinations return a typed cache error; default equals allow-asynchronous standard mode.	Rust enum has explicit variants and preserves the standard alias as Default.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:34-50;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:512-515
